TimeStamp,Electricity,id,Station Name,Station ID,Exit Name,Exit ID
2021-12-30 02:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 03:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 04:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 05:00:00,1,3686974,بصاليم,14,مجذوب,266
2021-12-30 06:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 07:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 08:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 09:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 10:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 11:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 12:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 13:00:00,1,3686974,بصاليم,14,مجذوب,266
2021-12-30 14:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 15:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 16:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 17:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 18:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 19:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 20:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 21:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 22:00:00,0,3686974,بصاليم,14,مجذوب,266
2021-12-30 23:00:00,1,3686974,بصاليم,14,مجذوب,266
2021-12-31 00:00:00,1,3687990,بصاليم,14,مجذوب,266
2021-12-31 01:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 02:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 03:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 04:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 05:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 06:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 07:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 08:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 09:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 10:00:00,1,3687990,بصاليم,14,مجذوب,266
2021-12-31 11:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 12:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 13:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 14:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 15:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 16:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 17:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 18:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 19:00:00,1,3687990,بصاليم,14,مجذوب,266
2021-12-31 20:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 21:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 22:00:00,0,3687990,بصاليم,14,مجذوب,266
2021-12-31 23:00:00,0,3687990,بصاليم,14,مجذوب,266
2022-01-01 00:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 01:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 02:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 03:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 04:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 05:00:00,1,3690065,بصاليم,14,مجذوب,266
2022-01-01 06:00:00,1,3690065,بصاليم,14,مجذوب,266
2022-01-01 07:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 08:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 09:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 10:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 11:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 12:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 13:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 14:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 15:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 16:00:00,1,3690065,بصاليم,14,مجذوب,266
2022-01-01 17:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 18:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 19:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 20:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 21:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 22:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-01 23:00:00,0,3690065,بصاليم,14,مجذوب,266
2022-01-02 00:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 01:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 02:00:00,1,3690035,بصاليم,14,مجذوب,266
2022-01-02 03:00:00,1,3690035,بصاليم,14,مجذوب,266
2022-01-02 04:00:00,1,3690035,بصاليم,14,مجذوب,266
2022-01-02 05:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 06:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 07:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 08:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 09:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 10:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 11:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 12:00:00,1,3690035,بصاليم,14,مجذوب,266
2022-01-02 13:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 14:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 15:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 16:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 17:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 18:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 19:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 20:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 21:00:00,1,3690035,بصاليم,14,مجذوب,266
2022-01-02 22:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-02 23:00:00,0,3690035,بصاليم,14,مجذوب,266
2022-01-03 00:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 01:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 02:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 03:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 04:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 05:00:00,1,3691247,بصاليم,14,مجذوب,266
2022-01-03 06:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 07:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 08:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 09:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 10:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 11:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 12:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 13:00:00,1,3691247,بصاليم,14,مجذوب,266
2022-01-03 14:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 15:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 16:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 17:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 18:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 19:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 20:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 21:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 22:00:00,0,3691247,بصاليم,14,مجذوب,266
2022-01-03 23:00:00,0,3691247,بصاليم,14,مجذوب,266
